service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20230310,20230516
Daily-10,1,1,1,1,1,1,1,20230311,20230516
Daily-11,1,1,1,1,1,1,1,20230310,20230516
Daily-12,1,1,1,1,1,1,1,20230319,20230516
Daily-2,1,1,1,1,1,1,1,20230319,20230516
Daily-3,1,1,1,1,1,1,1,20230319,20230516
Daily-4,1,1,1,1,1,1,1,20230310,20230318
Daily-5,1,1,1,1,1,1,1,20230310,20230516
Daily-6,1,1,1,1,1,1,1,20230310,20230516
Daily-7,1,1,1,1,1,1,1,20230310,20230516
Daily-8,1,1,1,1,1,1,1,20230310,20230516
Daily-9,1,1,1,1,1,1,1,20230310,20230516
ExSat-1,1,1,1,1,1,0,1,20230310,20230516
ExSat-2,1,1,1,1,1,0,1,20230310,20230516
ExSat-3,1,1,1,1,1,0,1,20230310,20230516
ExSat-4,1,1,1,1,1,0,1,20230310,20230516
ExSat-5,1,1,1,1,1,0,1,20230310,20230318
ExSat-6,1,1,1,1,1,0,1,20230310,20230516
ExSat-7,1,1,1,1,1,0,1,20230310,20230516
ExSat-8,1,1,1,1,1,0,1,20230310,20230516
ExSat-9,1,1,1,1,1,0,1,20230310,20230516
ExSun-1,1,1,1,1,1,1,0,20230310,20230318
ExSun-10,1,1,1,1,1,1,0,20230310,20230516
ExSun-11,1,1,1,1,1,1,0,20230311,20230516
ExSun-2,1,1,1,1,1,1,0,20230310,20230516
ExSun-3,1,1,1,1,1,1,0,20230310,20230516
ExSun-4,1,1,1,1,1,1,0,20230310,20230516
ExSun-5,1,1,1,1,1,1,0,20230310,20230516
ExSun-6,1,1,1,1,1,1,0,20230310,20230516
ExSun-7,1,1,1,1,1,1,0,20230310,20230516
ExSun-8,1,1,1,1,1,1,0,20230310,20230516
ExSun-9,1,1,1,1,1,1,0,20230310,20230516
FriSat-1,0,0,0,0,1,1,0,20230310,20230318
FriSat-2,0,0,0,0,1,1,0,20230319,20230516
FriSat-3,0,0,0,0,1,1,0,20230310,20230516
Friday-1,0,0,0,0,1,0,0,20230310,20230318
Friday-2,0,0,0,0,1,0,0,20230311,20230516
Friday-3,0,0,0,0,1,0,0,20230310,20230516
Friday-4,0,0,0,0,1,0,0,20230310,20230516
Friday-5,0,0,0,0,1,0,0,20230310,20230516
Friday-6,0,0,0,0,1,0,0,20230311,20230516
Other-1,0,0,0,0,0,0,0,20230310,20230516
Other-10,0,0,0,0,0,0,0,20230310,20230516
Other-11,0,0,0,0,0,0,0,20230310,20230516
Other-12,0,0,0,0,0,0,0,20230310,20230516
Other-13,0,0,0,0,0,0,0,20230319,20230516
Other-14,0,0,0,0,0,0,0,20230310,20230516
Other-15,0,0,0,0,0,0,0,20230319,20230516
Other-16,0,0,0,0,0,0,0,20230310,20230516
Other-17,0,0,0,0,0,0,0,20230311,20230516
Other-18,0,0,0,0,0,0,0,20230310,20230318
Other-19,0,0,0,0,0,0,0,20230310,20230318
Other-2,0,0,0,0,0,0,0,20230310,20230516
Other-20,0,0,0,0,0,0,0,20230310,20230516
Other-21,0,0,0,0,0,0,0,20230310,20230516
Other-22,0,0,0,0,0,0,0,20230310,20230516
Other-23,0,0,0,0,0,0,0,20230310,20230516
Other-24,0,0,0,0,0,0,0,20230310,20230516
Other-25,0,0,0,0,0,0,0,20230310,20230516
Other-26,0,0,0,0,0,0,0,20230310,20230516
Other-27,0,0,0,0,0,0,0,20230310,20230516
Other-28,0,0,0,0,0,0,0,20230310,20230318
Other-29,0,0,0,0,0,0,0,20230311,20230516
Other-3,0,0,0,0,0,0,0,20230310,20230516
Other-30,0,0,0,0,0,0,0,20230319,20230516
Other-4,0,0,0,0,0,0,0,20230319,20230516
Other-5,0,0,0,0,0,0,0,20230319,20230516
Other-6,0,0,0,0,0,0,0,20230319,20230516
Other-7,0,0,0,0,0,0,0,20230319,20230516
Other-8,0,0,0,0,0,0,0,20230319,20230516
Other-9,0,0,0,0,0,0,0,20230310,20230318
Saturday-1,0,0,0,0,0,1,0,20230310,20230516
Saturday-2,0,0,0,0,0,1,0,20230310,20230516
Saturday-3,0,0,0,0,0,1,0,20230310,20230318
Saturday-4,0,0,0,0,0,1,0,20230310,20230516
Saturday-5,0,0,0,0,0,1,0,20230310,20230516
Saturday-6,0,0,0,0,0,1,0,20230310,20230516
Saturday-7,0,0,0,0,0,1,0,20230310,20230516
Saturday-8,0,0,0,0,0,1,0,20230319,20230516
Sunday-1,0,0,0,0,0,0,1,20230310,20230516
Sunday-10,0,0,0,0,0,0,1,20230310,20230516
Sunday-11,0,0,0,0,0,0,1,20230311,20230516
Sunday-2,0,0,0,0,0,0,1,20230310,20230516
Sunday-3,0,0,0,0,0,0,1,20230310,20230318
Sunday-4,0,0,0,0,0,0,1,20230310,20230516
Sunday-5,0,0,0,0,0,0,1,20230310,20230516
Sunday-6,0,0,0,0,0,0,1,20230310,20230516
Sunday-7,0,0,0,0,0,0,1,20230310,20230516
Sunday-8,0,0,0,0,0,0,1,20230310,20230516
Sunday-9,0,0,0,0,0,0,1,20230319,20230516
Thursday-1,0,0,0,1,0,0,0,20230310,20230516
Wednesday-1,0,0,1,0,0,0,0,20230310,20230516
Wednesday-2,0,0,1,0,0,0,0,20230310,20230516
Weekday-1,1,1,1,1,1,0,0,20230310,20230516
Weekday-10,1,1,1,1,1,0,0,20230310,20230516
Weekday-11,1,1,1,1,1,0,0,20230310,20230318
Weekday-12,1,1,1,1,1,0,0,20230310,20230516
Weekday-2,1,1,1,1,1,0,0,20230310,20230516
Weekday-3,1,1,1,1,1,0,0,20230310,20230318
Weekday-4,1,1,1,1,1,0,0,20230310,20230516
Weekday-5,1,1,1,1,1,0,0,20230310,20230516
Weekday-6,1,1,1,1,1,0,0,20230310,20230516
Weekday-7,1,1,1,1,1,0,0,20230310,20230516
Weekday-8,1,1,1,1,1,0,0,20230310,20230516
Weekday-9,1,1,1,1,1,0,0,20230311,20230516
Weekend-1,0,0,0,0,0,1,1,20230310,20230516
Weekend-10,0,0,0,0,0,1,1,20230310,20230516
Weekend-11,0,0,0,0,0,1,1,20230311,20230516
Weekend-12,0,0,0,0,0,1,1,20230311,20230516
Weekend-2,0,0,0,0,0,1,1,20230311,20230516
Weekend-3,0,0,0,0,0,1,1,20230310,20230516
Weekend-4,0,0,0,0,0,1,1,20230310,20230318
Weekend-5,0,0,0,0,0,1,1,20230310,20230516
Weekend-6,0,0,0,0,0,1,1,20230310,20230516
Weekend-7,0,0,0,0,0,1,1,20230310,20230516
Weekend-8,0,0,0,0,0,1,1,20230319,20230516
Weekend-9,0,0,0,0,0,1,1,20230310,20230516
WkExFri-1,1,1,1,1,0,0,0,20230310,20230516
WkExFri-2,1,1,1,1,0,0,0,20230311,20230516
WkExFri-3,1,1,1,1,0,0,0,20230310,20230318
WkExFri-4,1,1,1,1,0,0,0,20230311,20230516
